,state,city,rating (stars),rating_count
0,CA,Los Angeles,2.8056092843326885,2663.18665377176
1,CA,North Hollywood,3.3771929824561404,1794.561403508772
2,CA,San Diego,3.1666666666666665,886.6829268292682
3,CA,Santa Monica,3.1926829268292685,3380.2804878048782
4,CA,Sunnyvale,3.33,1562.0
5,DC,Washington,3.5944363103953147,1270.199121522694
6,FL,Fern Park,3.4705882352941178,1617.6705882352942
7,FL,Kissimmee,2.8104651162790697,5566.552325581395
8,FL,Miami,2.5579617834394903,2809.452229299363
9,FL,Miami Beach,1.9719298245614034,4922.0
10,FL,Orlando,2.8899676375404533,6891.084142394822
11,IL,Oak Park,3.362183754993342,1454.0
12,Las,3999 S Las Vegas Blvd,2.978640776699029,2365.0
13,NJ,Newark,2.9930232558139536,1564.1472868217054
14,NJ,Voorhees Township,3.6150583244962884,933.0
15,NY,Champlain,3.2693548387096776,1306.016129032258
16,NY,New York,3.3092369477911645,2449.5473321858863
17,NY,Queens,3.2859649122807015,2193.0
18,PA,Brodheadsville,3.463035019455253,1028.0
19,TX,Austin,2.910196987253766,1329.0590961761297
20,TX,Dallas,3.1436363636363636,2657.690909090909
21,TX,Fort Worth,3.2705882352941176,957.0
22,TX,Roanoke,3.4657534246575343,998.1455479452055
23,TX,San Antonio,3.1275590551181103,1460.0
24,UT,Salt Lake City,2.5258426966292133,3243.0
25,VA,Annandale,3.697674418604651,595.0
